Branch Name,Branch Number,Address1,Branch City,Branch Province,PostalCode,Branch Country,Region Name,Latitude,Longitude,BranchJoinKey,Telephone1,Division Name,LOBName
Cambridge,159,365 Industrial Road,Cambridge,ON,N3H 5S1,CA,CA Central,43.4089313276621,'-80.3341381546958,1591,"",Southwest Ontario,CA-CF
Cambridge_NZ,25,169 State Highway 1B,Cambridge,WKO,3493,NZ,New Zealand,'-37.8661092243145,175.458027436271,258,"",North Island North,"NZ-AG,NZ-AG"
Campbell River,115,1821 14TH AVE,Campbell River,BC,V9W 4H9,CA,CA West,50.0286256245514,'-125.268810358364,1151,250-286-0614,BC Coastal Division,CA-CF
Cardinal - TT,13,2085 Shanly Road (County Road 22),Cardinal,ON,K0E 1E0,CA,CA Central,44.8089770932362,'-75.4016694076111,133, (613) 657-1300,Transportation ON,"CA-TT,CA-TT"
Castlegar,116,4130 MINTO RD,Castlegar,BC,V1N 4C1,CA,CA West,49.2584414125074,'-117.657643073742,1161,250-365-6747,Interior BC Division,CA-CF
Chicoutimi,164,"1430, boulevard du Royaume O., CP 8270",Chicoutimi,QC,G7H 5B1,CA,CA East,48.3881115940152,'-71.1179975105732,1641,"",Eastern Quebec,CA-CF
Claresholm - AG,309,8500 Alberta Road,Claresholm,AB,T0L 0T0,CA,CA West,50.0493170002201,'-113.59425823194,3091,(403) 625-4421,Southern Alberta,CA-AG
Colac,11,3/345 Princes Hwy,Colac,VIC,3250,AU,Australia,'-38.3354359376188,143.553664282879,117,03 5231 6320,Southwest Victoria,"AU-AG,AU-CF"
Corner Brook,171,"12 Maple Valley Road, Unit 1",Corner Brook,NL,A2H 3C2,CA,CA East,48.9542221306442,'-57.9177406854046,1711,"",NFLD & Lab,CA-CF
Coronation - AG,305,4420 Victoria Avenue,Coronation,AB,T0C 1C0,CA,CA West,52.0891503233209,'-111.43620171465,3051,(403) 578-3744,Central Alberta,CA-AG
Corp - AG,1009,,Regina,SK,,CA,,,,10092,,Southwest Victoria,"AU-AG,AU-AG"
Corp – Construction,1000,"",Edmonton,AB,"",CA,,53.5361,'-113.4933,10001,"",Northern Alberta Division,"CA-CF,AU-AG"
Corp – Forestry,1001,"",Edmonton,AB,"",CA,,53.5354,'-113.4843,10011,"",Northern Alberta Division,"CA-CF,AU-AG"
Corp – Gov,1005,"",Edmonton,AB,"",CA,,53.5354,'-113.4933,10051,"",Northern Alberta Division,"CA-CF,AU-AG"
Corp - MH,1010,,Regina,SK,,CA,,,,10101,,Saskatchewan / Manitoba Division,CA-CF
Corp – Mining,1007,"",Edmonton,AB,"",CA,,53.5444,'-113.4909,10071,"",Northern Alberta Division,"CA-CF,AU-AG"
Corp – R&M,1008,"",Edmonton,AB,"",CA,,53.4713,'-113.475,10081,"",Northern Alberta Division,"CA-CF,AU-AG"
Corp – SC,1003,"",Edmonton,AB,"",CA,,53.5461,'-113.4923,10031,"",Northern Alberta Division,"CA-CF,AU-AG"
Corp - SLS SPT,1006,"",Regina,SK,"",CA,,50.4481,'-104.61,10061,"",Northern Alberta Division,"CA-CF,AU-AG"
Corp – VP,1004,"",Edmonton,AB,"",CA,,53.5444,'-113.4909,10041,"",Northern Alberta Division,"CA-CF,AU-AG"
Corp – WPS,1002,"",Edmonton,AB,"",CA,,53.5461,'-113.4923,10021,"",Northern Alberta Division,"CA-CF,CA-AG"
Corporate,149,1 Brandt Wy,Regina,SK,S4P 3R8,CA,CA East,50.4488386881764,'-104.493510681755,1491,,Head Office - East Division,CA-CF
Corporate - East,195,1 Brandt Wy,Regina,SK,S4P 3R8,CA,CA East,50.4488386881764,'-104.493510681755,1951,,Head Office - East Division,CA-CF
Corporate Pool - Central,201,,Mississauga,ON,,CA,CA East,,,2011,,Head Office - Central Division,CA-CF
Corporate Pool - East,200,"","",SK,"",CA,CA East,52.9399,'-102.3936,2001,"",Head Office - East Division,CA-CF
Corporate Pool - West,147,"",Regina,SK,,CA,CA West,,,1471,"",Head Office Division - CF,CA-CF
Corporate Services,71,,,,,AU,Australia,,,717,,Corporate Services - AU,AU-AG
Corporate Services,71,,,,,NZ,New Zealand,,,718,,Corporate Services - NZ,"NZ-AG,NZ-AG"
CPW - Calgary,145,10121 Barlow Trail NE,Calgary,AB,T3J 3C6,CA,CA West,51.1456552930465,'-114.002205449639,1451,,Head Office - Central Division,CA-CF
CPW - Calgary,345,10121 Barlow Trail NE,Calgary,AB,T3J 3C6,CA,CA West,51.1456351010706,'-114.003149587144,3451,"",Head Office Division - AG,CA-AG
CPW - Mississauga,194,1655 Britannia Rd E,Mississauga,ON,L4W 1S5,CA,CA Central,43.6594343236857,'-79.6439656448202,1941,,Head Office - East Division,CA-CF
CPW - Moncton,138,160 Urquhart Ave,Moncton,NB,E1H 2R5,CA,CA East,46.1285445791613,'-64.7516993059866,1381,,Head Office Division - CF,CA-CF
Cranbrook,119,604 Industrial Road #3,Cranbrook,BC,V1C 4V2,CA,CA West,49.5223207058409,'-115.768528656541,1191,250-426-3400,Southern Alberta Division,CA-CF
Creston - AG,310,1617 Northwest Blvd,Creston,BC,V0B 1G6,CA,CA West,49.1161613839318,'-116.523518678008,3101,(250) 431-9002,Southern Alberta,CA-AG
Drumheller - AG,313,3049 Highway 10 East,Drumheller,AB,T0J 0Y7,CA,CA West,51.4285695543749,'-112.64945430673,3131,(403) 823-8484,Central Alberta,CA-AG
Dryden,173,329 Kennedy Street,Dryden,ON,P8N 2Y5,CA,CA Central,49.7984078753983,'-92.8479013086581,1731,"",Northern Ontario,CA-CF
East Pool,197,"","",SK,"",CA,CA East,52.1233,'-106.6633,1971,"",Head Office - East Division,CA-CF
Edmonton,106,10630 - 176TH ST,Edmonton,AB,T5S 1M2,CA,CA West,53.5525072324771,'-113.624874015857,1061,780-484-6613,Northern Alberta Division,CA-CF
Edmonton CCE,190,10571-178 Street,Edmonton,AB,T5S 2K4,CA,CA West,53.5499271602852,'-113.625921722529,1901,"",Northern Alberta Division,CA-CF
Edmundston,169,"680, Blvd Isidore-Boucher",Edmundston,NB,E3V 4H6,CA,CA East,47.4038983945917,'-68.3621115995381,1691,"",Atlantic Division,CA-CF
Equipment Sales and PM,148,"","",SK,"",CA,CA West,52.9399,'-102.3936,1481,"",Head Office - Central Division,CA-CF
Equipment Sales and PM- AG,348,,Regina,SK,,CA,CA West,,,3481,,Head Office Division - AG,CA-AG
Estevan,182,1 Frontier Street,Estevan,SK,S4A 2K9,CA,CA West,49.1312598946561,'-102.922829009618,1821,,Saskatchewan / Manitoba Division,CA-CF
Estevan - TT,54,1 Frontier St,Estevan,SK,S4A 2K9,CA,CA West,49.1313492740113,'-102.921997322749,543,(306) 636-6320,Transportation SK,"CA-TT,CA-TT"
Fort McMurray,108,5-360 MCKENZIE BLVD,Fort McMurray,AB,T9H 4C4,CA,CA West,56.6673883192475,'-111.333248431035,1081,780-791-6635,Northern Alberta Division,CA-CF
Fort Nelson,110,4505-55th Street,Fort Nelson,BC,V0C 1R0,CA,CA West,58.8000976151065,'-122.713125615578,1101,250-774-4725,Peace Area Division,CA-CF
Fort St John,109,10344 CLAIRMONT FRG,Fort St. John,BC,V1J 4J1,CA,CA West,56.2629317387738,'-120.920158159891,1091,250-785-6762,Peace Area Division,CA-CF
Fredericton,139,171 Greenview Drive,Hanwell,NB,E3C 0M7,CA,CA East,45.9186067806509,'-66.7069170567125,1391,506-458-8380,Atlantic Division,CA-CF
Gisborne,20,67 Awapuni Road,Gisborne,GIS,4010,NZ,New Zealand,'-38.6684894199187,178.01532710988,208,06 869 0006,North Island South - CF,"NZ-CF,NZ-AG"
Gisborne - CF,29,"67 Awapuni Road, Awapuni",Gisborne,NZ,4010,NZ,New Zealand,'-38.6685838290433,178.015074842844,298,,North Island South - CF,NZ-CF
GMA-MH,180,,GMA,QC,,CA,CA East,,,1801,,Western Quebec,CA-CF
Grand Falls,178,15 Bayley Street,Grand Falls-Windsor,NL,A2A 2Y3,CA,CA East,48.9517025285894,'-55.6420143584165,1781,,NFLD & Lab,CA-CF
Grande Prairie,107,7301-102 Street,Clairmont,AB,T8X 5A7,CA,CA West,55.2339044485391,'-118.797483759946,1071,780-532-3414,Peace Area Division,CA-CF
Group Management - AU,7,,,,,AU,Australia,,,77,,,
Group Management - NZ,81,,,,,NZ,New Zealand,,,818,,Corporate Services - NZ,NZ-CF
Group Staff - NZ,1015,,,,,NZ,New Zealand,,,10158,,,
GTA - MH,179,,GTA,ON,,CA,CA Central,,,1791,,South Central Ontario,CA-CF
GVA-MH,181,,GVA,BC,,CA,CA West,,,1811,,BC Coastal Division,CA-CF
Hagersville - TT,3,"#4011, Highway #6 South",Hagersville,ON,N0A 1H0,CA,CA Central,42.969684977459,'-80.0467258285748,33,(905) 768-1300,Transportation ON,"CA-TT,CA-TT"
Halifax,142,60 Symonds Road,Bedford,NS,B4B 1H3,CA,CA East,44.7254054845445,'-63.7013129316256,1421,"",Atlantic Division,CA-CF
Hamilton,1,94 Portland Rd,Hamilton,VIC,3300,AU,Australia,'-37.7533374796637,142.008263561408,17,03 5572 3522,Southwest Victoria,"AU-AG,AU-CF"
Hamilton,26,8 Kells Place,Hamilton,WKO,3204,NZ,New Zealand,'-37.8036053476926,175.26131050374,268,07 847 0425,North Island North,"NZ-AG,NZ-CF"
Hanna - AG,314,302 Pioneer Trail,Hanna,AB,T0J 1P0,CA,CA West,51.6369967358308,'-111.915431486403,3141,(403) 854-3334,Central Alberta,CA-AG
Hastings,13,1318 Omahu Road,Hastings,HKB,4175,NZ,New Zealand,'-39.6148621537617,176.800275355942,138,06 879 9907,North Island South - AG,NZ-AG
Hastings,19,1863 Frankston - Flinders Rd,Hastings,VIC,3915,AU,Australia,'-38.2871711263401,145.185153252194,197,(03) 5979 2155,Metro Victoria,AU-AG
Hastings - CF,28,115 Henderson Road,"",HKB,4175,NZ,New Zealand,'-39.6148621537617,176.800275355942,288,"",North Island South - AG,"NZ-AG,NZ-AG"
Head Office,100,"",Regina,SK,S4P 3R8,CA,CA West,50.4488851772766,'-104.493410032833,1001,306-791-3334,Head Office Division - CF,CA-CF
Head Office - Calgary - ADM,300,"6302, 333 - 96 Avenue NE",Calgary,AB,T3K 0S3,CA,CA West,51.1402284953061,'-114.063255187709,3001,1-877-567-0339,Head Office Division - AG,CA-AG
Head Office - East,196,1 Brandt Wy,Regina,SK,S4P 3R8,CA,CA East,50.4488386881764,'-104.493510681755,1961,,Head Office - East Division,CA-CF
Hearst,174,1500 Front Street,Hearst,ON,P0L 1N0,CA,CA Central,49.6872861996884,'-83.6427615160513,1741,"",Northern Ontario,CA-CF
High River - AG,306,498114 - 121 St East,High River,AB,T1V 1M7,CA,CA West,50.5950990123018,'-113.824995041713,3061,(403) 652-7797,Southern Alberta,CA-AG
IFRS Reporting - AU,90,,,,,AU,Australia,,,907,,IFRS Reporting - AU,AU-AG
IFRS Reporting - NZ,90,,,,,NZ,New Zealand,,,908,,IFRS Reporting - NZ,NZ-AG
Kamloops,112,499 CHILCOTIN RD,Kamloops,BC,V2C 6X2,CA,CA West,50.660257389489,'-120.111605363194,1121,250-374-2115,Interior BC Division,CA-CF
Keith,15,Dukes Hwy,Keith,SA,5267,AU,Australia,'-36.09023947383,140.346631613474,157,(08) 8755 0800,Southwest Victoria - CF,"AU-CF,AU-AG"
Knoxfield,13,14 Rushdale Street,Knoxfield,VIC,3180,AU,Australia,'-37.8951413738757,145.255861893943,137,03 9763 8255,Metro Victoria,AU-AG
Labrador,172,9 Toronto Ave,Goose Bay,NL,A0P 1C0,CA,CA East,53.3273118572718,'-60.4108377415757,1721,"",NFLD & Lab,CA-CF
Lake Gardens - SRO - ADM,3,7/9-19 St Cedars Grove,Lake Gardens,VIC,3355,AU,Australia,'-37.545085759002,143.817047053791,37,,,
Launceston,21,4 Australis Dr,Rocherlea,TAS,7248,AU,Australia,'-41.3732345445192,147.112457097025,217,,Metro Victoria,AU-AG
Laval,161,"4500, Autoroute Chomedey",Laval,QC,H7R 6E9,CA,CA East,45.5664046596398,'-73.8232585009051,1611,"",Western Quebec,CA-CF
Lease & Rental ON - TT,20,,,ON,,CA,CA Central,,,203,,Transportation ON,CA-TT
Lease & Rental SK - TT,56,,,SK,,CA,CA West,,,563,,Transportation SK,CA-TT
Leongatha,4,2 Hogans Rd Leongatha South,Leongatha,VIC,3953,AU,Australia,'-38.5311287649074,145.951652709309,47,03 5667 6600,Southeast Victoria,"AU-AG,AU-CF"
Lethbridge,137,#5-90070 Range Road 211,Lethbridge,AB,T1J 5P1,CA,CA West,49.7104444061964,'-112.738922032107,1371,403-327-4611,Southern Alberta Division,CA-CF
Lilydale,14,459 Maroondah Hwy,Lilydale,VIC,3140,AU,Australia,'-37.7538070144275,145.362921468006,147,,Southeast Victoria,"AU-AG,AU-CF"
Lloydminster - TT,53,5201 40th Ave,Lloydminster,SK,S9V 2B5,CA,CA West,53.2848396685413,'-109.977602951378,533,(306) 825-3553,Transportation SK,"CA-TT,CA-TT"
London,157,16 Royce Court,London,ON,N6E 1L1,CA,CA Central,42.9280593269012,'-81.2100112190591,1571,"",Southwest Ontario,CA-CF
London - TT,1,31 Buchanan Court,London,ON,N5Z 4P9,CA,CA Central,42.9367173737016,'-81.1850050942,13,(519) 686-1000,Transportation ON,"CA-TT,CA-TT"
Maffra,8,16-18 Johnson St,Maffra,VIC,3860,AU,Australia,'-37.9644337184363,146.973103846075,87,03 5147 1122,Southeast Victoria,"AU-AG,AU-CF"
Manawatu,11,15 Darragh Road,Feilding,MWT,4775,NZ,New Zealand,'-40.2352711062792,175.567417103838,118,"",North Island South - CF,"NZ-CF,NZ-AG"
Manawatu - CF,30,15 Darragh Road,Feilding,NZ,4775,NZ,New Zealand,'-40.235254725522,175.56675191605,308,,North Island South - CF,NZ-CF
Masterton,32,315 High Street,Masterton,WGN,5810,NZ,New Zealand,'-40.9629164458309,175.613255227728,328,64 6 377 3009,North Island South - CF,"NZ-CF,NZ-AG"
Melbourne,22,71 Queens Rd,Melbourne,VIC,3004,AU,Australia,'-37.8513565225511,144.979343008701,227,,Metro Victoria,AU-AG
Melfort - AG,324,"Box 699, 2320 Saskatchewan Drive S",Melfort,SK,S0E 1A0,CA,CA West,52.8390492695552,'-104.589739891883,3241, (306) 752-9344,Northern Saskatchewan,CA-AG
Milton,124,8035 Esquesing Line,Milton,ON,L9T 5C8,CA,CA Central,43.5420347032732,'-79.875933106537,1241,905-693-0771,South Central Ontario,CA-CF
Mississauga,153,1655 Britannia Road East,Mississauga,ON,L4W 1S5,CA,CA Central,43.6595196749875,'-79.6439039568145,1531,"",South Central Ontario,CA-CF
Mississauga - TT,11,1257 Eglinton Avenue E,Mississauga,ON,L4W 1K7,CA,CA Central,43.6336493140224,'-79.6238211745691,113,(905) 268-2000,Transportation ON,"CA-TT,CA-TT"
Moncton,140,160 Urquhart Avenue,Monctun,NB,E1H 2R5,CA,CA East,46.1284886142292,'-64.752424500163,1401,"",Atlantic Division,CA-CF
Mont Laurier,176,327 Chemin du Golf,Lac-des-Écorces,QC,J0W 1H0,CA,CA East,46.5627395521812,'-75.4045576995776,1761,"",Western Quebec,CA-CF
Mont-Joli,177,930 Route de l'aéroport,Mont-Joli,QC,G5H 3L3,CA,CA East,48.5988476145897,'-68.2100347608458,1771,"",Eastern Quebec,CA-CF
Mount Gambier,18,290 Jubilee Highway,Mount Gambier,SA,5291,AU,Australia,'-37.8098078932235,140.743941621493,187,(08) 8724 6900,Southwest Victoria - CF,"AU-CF,AU-AG"
Mount Pearl,170,15 Allston Street,Mount Pearl,NL,A1N 0A3,CA,CA East,47.5327433279175,'-52.823509687885,1701,"",NFLD & Lab,CA-CF
Nanaimo,120,1830 SCHOOLHOUSE RD,Nanaimo,BC,V9X 1T4,CA,CA West,49.0996814386203,'-123.889089881703,1201,250-754-7735,BC Coastal Division,CA-CF
Naracoorte,17,230 Smith Street,Naracoorte,SA,5271,AU,Australia,'-36.9531592615074,140.75590821166,177,(08) 8760 1800,Southwest Victoria - CF,"AU-CF,AU-AG"
Nipawin - AG,326,2002 Highway 35 South,Nipawin,SK,S0E 1E0,CA,CA West,53.3354524763805,'-104.026881363022,3261,(306) 862-9344,Northern Saskatchewan,CA-AG
Norfolk - TT,9,1150 Vittoria Rd,Vittoria,ON,N0E 1W0,CA,CA Central,42.7495436101346,'-80.3521631526201,93,,Transportation ON,"CA-TT,CA-TT"
North Bay - TT,4,3410 Hwy 11 N,North Bay,ON,P1B 8G3,CA,CA Central,46.3659336365132,'-79.4640432633635,43,(705) 472-4000,Transportation ON,"CA-TT,CA-TT"
Northern ON - TT,24,,,ON,,CA,CA Central,,,243,,Transportation ON,"CA-TT,CA-TT"
Northern SK - TT,61,,,SK,,CA,CA West,,,613,,Transportation SK,"CA-TT,CA-TT"
Olds - AG,307,4310 - 50th Avenue,Olds,AB,T4H 1A5,CA,CA West,51.7994528952312,'-114.1019066337,3071,(403) 556-6961,Central Alberta,CA-AG
Ottawa,160,190 David Manchester Road,Ottawa,ON,K0A 1L0,CA,CA Central,45.2587703821617,'-75.9729071591551,1601,"",South Central Ontario,CA-CF
Ottawa - TT,18,2650 Carp Rd.,Ottawa,ON,K0A 1L0,CA,CA Central,45.3012055749527,'-75.977775040118,183,(613) 831-2940,Transportation ON,"CA-TT,CA-TT"
Pakenham,12,85 Bald Hill Road,Pakenham,VIC,3810,AU,Australia,'-38.0864561050982,145.497263736845,127,03 5941 5966,Southeast Victoria,"AU-AG,AU-CF"
PDI - Moncton,192,160 Urquhart Ave,Moncton,NB,E1H 2R5,CA,CA East,46.1284496131571,'-64.7521573306099,1921,,Head Office Division - CF,CA-CF
PDI - Regina,126,"",Regina,SK,S4P 3E1,CA,CA West,50.525011792407,'-104.624257802524,1261,"",Head Office Division - CF,CA-CF
Penhold - AG,316,37043 Hwy 2 Service Rd NB (northbound),Red Deer,AB,T4E 2C1,CA,CA West,52.1525896301702,'-113.811241280179,3161,(403) 343-2238,Central Alberta,CA-AG
Peterborough,155,1003 Highway 7 East,Peterborough,ON,K9J 7Y8,CA,CA Central,44.2997224222094,'-78.2560286451389,1551,"",South Central Ontario,CA-CF
Pincher Creek - AG,308,1165 Main Street,Pincher Creek,AB,T0K 1W0,CA,CA West,49.4865120479073,'-113.928300346027,3081, (403) 627-4451,Southern Alberta,CA-AG
Ponoka - AG,303,3600 Highway 2A South,Ponoka,AB,T4J 1J8,CA,CA West,52.6657265254008,'-113.603485422574,3031,(403) 783-3337,Central Alberta,CA-AG
Preventative Maintenance,48,,,,,AU,Australia,,,487,,Corporate Services - AU,AU-AG
Preventative Maintenance,48,,,,,NZ,New Zealand,,,488,,Corporate Services - NZ,"NZ-AG,NZ-AG"
Prince Albert - AG,325,Box 2949,Prince Albert,SK,S6V 7M4,CA,CA West,53.1702572777662,'-105.730944566805,3251,(306) 763-6686,Northern Saskatchewan,CA-AG
Prince Albert - TT,57,"3800 5th Ave East, #8",Prince Albert,SK,S6W 0A1,CA,CA West,53.1785142526326,'-105.738390378491,573,(306) 557-2067,Transportation SK,"CA-TT,CA-TT"
Prince George,111,1049 GREAT ST,Prince George,BC,V2N 2K8,CA,CA West,53.8793780383241,'-122.738700587005,1111,250-562-1151,Northern BC Division,CA-CF
Product Support Centre,125,"",Regina,SK,,CA,CA West,,,1251,"",Head Office Division - CF,CA-CF
PTD - Atlantic,146,109 Ilsley Avenue#14,Dartmouth,NS,B4B 1H3,CA,CA East,44.7260538091214,'-63.7015835738601,1461,9022523390,Atlantic Division,CA-CF
PTD - BC,129,"",Surrey,BC,,CA,CA West,,,1291,"",BC Coastal Division,CA-CF
PTD - Engineered Services,144,"",Regina,AB,,CA,CA West,,,1441,"",Head Office Division - CF,CA-CF
PTD - Northern Alberta,130,"",Edmonton,AB,,CA,CA West,,,1301,"",Northern Alberta Division,CA-CF
PTD - Ontario,185,"","",ON,,CA,CA Central,,,1851,"",South Central Ontario,CA-CF
PTD - Peace,135,"",Clairmont,AB,T8X 5A7,CA,CA West,55.2342777065932,'-118.793027003343,1351,"",Peace Area Division,CA-CF
PTD - Quebec,186,"","",QC,,CA,CA East,,,1861,"",Western Quebec,CA-CF
PTD - SK/MB,128,"",Winnipeg,MB,R3T 5S3,CA,CA West,49.8421513297468,'-97.1589962291,1281,"",Saskatchewan / Manitoba Division,CA-CF
PTD - Southern Alberta,127,"Building 224, 2880 45th Ave SE",Calgary,AB,T3J 3C6,CA,CA West,51.1465723069097,'-113.995837440169,1271,"",Southern Alberta Division,CA-CF
Pukekohe,24,CNR Paerta Road & Comrie place,Pukekohe,AUK,2120,NZ,New Zealand,'-37.1890263719025,174.902901109822,248,09 237 0043,North Island North,"NZ-CF,NZ-CF"
Red Deer,105,101 Burnt Park Drive,Red Deer,AB,T4P 0J7,CA,CA West,52.3024386994179,'-113.864372917768,1051,403-343-7557,Southern Alberta Division,CA-CF
Regina,101,PO Box 3856,Regina,SK,S4P 3R8,CA,CA West,50.4494258682319,'-104.491676812738,1011,306-791-7777,Saskatchewan / Manitoba Division,CA-CF
Regina - TT,52,1507 Ross Ave E,Regina,SK,S4N 7E5,CA,CA West,50.4650880485608,'-104.56352728959,523,(306) 789-7383,Southern SK,"CA-TT,CA-TT"
Regina Pats,998,1463 Albert Street,Regina,SK,S4R 2R8,CA,CA West,50.4599813898311,'-104.618054633175,9980,,,
Remarketing - BC,134,"","",BC,,CA,CA West,,,1341,"",BC Coastal Division,CA-CF
